iter	Logloss
0	0.6852638855
1	0.6795593156
2	0.6737702874
3	0.6693590923
4	0.6655634453
5	0.6634310343
6	0.6579106618
7	0.65378898
8	0.6478703305
9	0.6422845404
10	0.6380404006
11	0.6341208073
12	0.6316768754
13	0.6284449907
14	0.6265817209
15	0.6238804369
16	0.6196661397
17	0.6154686274
18	0.6136010649
19	0.6107353928
20	0.6077144231
21	0.6048984835
22	0.6009137807
23	0.5986238555
24	0.5962163645
25	0.5937879579
26	0.5903159099
27	0.5865722063
28	0.5839010254
29	0.5813801716
30	0.5802714179
31	0.5777480202
32	0.5743639726
33	0.5721645247
34	0.5690369874
35	0.5660559493
36	0.5646579948
37	0.5623187993
38	0.5593433606
39	0.5571716334
40	0.5558842286
41	0.5543208178
42	0.55302284
43	0.5503815979
44	0.5486284746
45	0.5461577544
46	0.5453102401
47	0.5438076769
48	0.5419510494
49	0.5410409671
50	0.5388782777
51	0.5374890944
52	0.5355649436
53	0.5348256609
54	0.5338504086
55	0.5335855768
56	0.5318120032
57	0.5304433178
58	0.5294121875
59	0.5282276357
60	0.5270907787
61	0.5262138159
62	0.5244109268
63	0.5236487632
64	0.5227943324
65	0.5210514654
66	0.5204376832
67	0.5197137025
68	0.5189622075
69	0.5177757554
70	0.5165623925
71	0.5157664971
72	0.5153468529
73	0.514943432
74	0.5140755614
75	0.5137104303
76	0.5131572701
77	0.5125698369
78	0.5119467573
79	0.5113468355
80	0.5100964153
81	0.5094980072
82	0.5083333115
83	0.5074854639
84	0.506823477
85	0.5062774672
86	0.5056394058
87	0.5043810964
88	0.5035627966
89	0.5030486204
90	0.5026430375
91	0.5021464132
92	0.5015308867
93	0.5012797075
94	0.5006749804
95	0.500273766
96	0.4998168083
97	0.4991071682
98	0.4986016147
99	0.4975085143
100	0.496931287
101	0.4957915817
102	0.4952071996
103	0.4945828909
104	0.4941064807
105	0.4932941285
106	0.4928184214
107	0.4921435169
108	0.4918167882
109	0.4912260951
110	0.4902308206
111	0.4896336984
112	0.4889706421
113	0.4885079001
114	0.4881610189
115	0.4876013007
116	0.4870396431
117	0.4866528781
118	0.4862377179
119	0.4859371118
120	0.4850756085
121	0.4844165126
122	0.4832453863
123	0.4827098119
124	0.4817112964
125	0.4811397819
126	0.4801536829
127	0.4792360685
128	0.4785574195
129	0.4781430115
130	0.4777448681
131	0.4774558579
132	0.4772326064
133	0.4767043868
134	0.4764454331
135	0.4759031306
136	0.4757023792
137	0.4754653058
138	0.4749741798
139	0.4745872778
140	0.4740491236
141	0.4736856394
142	0.4731652372
143	0.472718628
144	0.4723540851
145	0.4716489892
146	0.4711978921
147	0.4708543981
148	0.4704991975
149	0.4701940042
150	0.4697109818
151	0.4694929153
152	0.4693359631
153	0.4691229653
154	0.4688411082
155	0.4683052407
156	0.4680449088
157	0.4677076802
158	0.4675107123
159	0.4673485481
160	0.4667853925
161	0.4663004521
162	0.4657263455
163	0.465452635
164	0.4649141811
165	0.4646776092
166	0.463782673
167	0.4633054126
168	0.4628594109
169	0.4621322141
170	0.461878326
171	0.4615355285
172	0.4612419466
173	0.460907037
174	0.4606550593
175	0.4602386492
176	0.4598313866
177	0.4596214869
178	0.4595163025
179	0.4592626844
180	0.458986817
181	0.458577825
182	0.4583483167
183	0.457881649
184	0.4570817064
185	0.4569399387
186	0.456658118
187	0.4564088392
188	0.4560205787
189	0.4559374071
190	0.455557038
191	0.4553931814
192	0.4549847701
193	0.4547331896
194	0.4543186795
195	0.4541590405
196	0.454015898
197	0.4538043158
198	0.4535254829
199	0.4533779608
200	0.4531466124
201	0.4528684433
202	0.4527078804
203	0.4524098421
204	0.4521618487
205	0.4515100751
206	0.4511567701
207	0.4507177951
208	0.4504131123
209	0.4501171064
210	0.4500003199
211	0.4498681608
212	0.4494539649
213	0.4490028088
214	0.4487744315
215	0.4484246539
216	0.4482770726
217	0.4480995403
218	0.4477479577
219	0.4474948337
220	0.447289477
221	0.4470946206
222	0.4469267675
223	0.4467437635
224	0.4464696232
225	0.4461975635
226	0.4460604176
227	0.4457303886
228	0.4454457991
229	0.4452429178
230	0.4449029015
231	0.4447883295
232	0.444552688
233	0.4442988552
234	0.4439691687
235	0.4436351576
236	0.4434870727
237	0.4432571997
238	0.4426739958
239	0.442520902
240	0.4423454396
241	0.4420584794
242	0.4418301524
243	0.4416170772
244	0.4413197866
245	0.4407805636
246	0.4406060456
247	0.4404264766
248	0.4402732545
249	0.4400047835
250	0.4397354197
251	0.4394137502
252	0.4392881337
253	0.4391341797
254	0.4388892407
255	0.4386826011
256	0.4384918159
257	0.4377545387
258	0.4373885143
259	0.4372727993
260	0.4371313717
261	0.4369137995
262	0.4367189439
263	0.4364658644
264	0.4363670887
265	0.4360336775
266	0.43589997
267	0.4357944946
268	0.4354917304
269	0.4352975892
270	0.4352642026
271	0.4351637409
272	0.4347847703
273	0.4346089351
274	0.4344660041
275	0.4340420514
276	0.4337961336
277	0.4336584925
278	0.4334120547
279	0.4331665244
280	0.4330442968
281	0.4328918157
282	0.4327145965
283	0.4325088155
284	0.4323769203
285	0.4322610118
286	0.4321375891
287	0.4320181116
288	0.431809744
289	0.4316334331
290	0.4314510898
291	0.4307797733
292	0.4305110131
293	0.4302831539
294	0.4301630801
295	0.4299603135
296	0.4298526702
297	0.4296284476
298	0.4295049157
299	0.429256755
300	0.4289693631
301	0.4287448203
302	0.4284269428
303	0.4283603518
304	0.4280165477
305	0.4278998781
306	0.4277412538
307	0.4275223034
308	0.4271835099
309	0.4269507969
310	0.4268183348
311	0.4266180312
312	0.4263588716
313	0.4261858827
314	0.4258291267
315	0.4256247983
316	0.4254620461
317	0.4252541478
318	0.4251490997
319	0.4249364949
320	0.4248276731
321	0.4247032047
322	0.4243826654
323	0.4240956253
324	0.4238742031
325	0.4236865902
326	0.4234525113
327	0.4233006297
328	0.4230750134
329	0.4228971768
330	0.4226173292
331	0.4223823346
332	0.4222169021
333	0.4220568179
334	0.4214959039
335	0.4212126556
336	0.4210501699
337	0.4208560993
338	0.420719513
339	0.4204239557
340	0.4203129409
341	0.4201614434
342	0.4200399909
343	0.4196818104
344	0.4196014911
345	0.4194979999
346	0.4192826388
347	0.4190639615
348	0.4188010987
349	0.418555665
350	0.4183866049
351	0.4182753302
352	0.4181032685
353	0.4179451182
354	0.4177055239
355	0.4173786587
356	0.4172411383
357	0.4170010606
358	0.4168599925
359	0.4165433058
360	0.4163132381
361	0.4161611633
362	0.4159682274
363	0.4157484401
364	0.4154217863
365	0.4151907664
366	0.4150470101
367	0.4149520671
368	0.4143823389
369	0.4142717957
370	0.4141232515
371	0.4140166111
372	0.4137805463
373	0.4135614649
374	0.4133644965
375	0.4130504236
376	0.4129875774
377	0.4128098177
378	0.4125863406
379	0.4124556417
380	0.4121818582
381	0.4117467368
382	0.4116108658
383	0.4114918777
384	0.4113495108
385	0.411196476
386	0.4105870431
387	0.4104395075
388	0.4101898897
389	0.4100412018
390	0.4096948487
391	0.4095065955
392	0.4089302247
393	0.4087825067
394	0.4085868464
395	0.4084386526
396	0.4081931969
397	0.4080090715
398	0.4077603838
399	0.4075072004
400	0.4073996079
401	0.4072203618
402	0.407021287
403	0.4067938027
404	0.4065590742
405	0.4060257983
406	0.4058889006
407	0.4056285157
408	0.4053867279
409	0.4052428499
410	0.4050315693
411	0.4048478859
412	0.4045957667
413	0.404471131
414	0.4042403068
415	0.404065395
416	0.4038188316
417	0.403623196
418	0.4034339076
419	0.4032824819
420	0.4031000768
421	0.4029558837
422	0.4028368157
423	0.4027263944
424	0.4025080038
425	0.4023767412
426	0.4021526225
427	0.4019884184
428	0.4017165414
429	0.4015931686
430	0.4014441708
431	0.4013372275
432	0.4010980144
433	0.4009192049
434	0.4007763625
435	0.4003672061
436	0.4001291274
437	0.4000092882
438	0.3998576389
439	0.399629343
440	0.399446409
441	0.3992154049
442	0.3990027548
443	0.3988052432
444	0.3986154824
445	0.3984502655
446	0.3982363641
447	0.3981143692
448	0.3979587317
449	0.3978028107
450	0.3975734348
451	0.3974309347
452	0.3973374601
453	0.3972322101
454	0.3971066497
455	0.396963873
456	0.3968696803
457	0.3966425288
458	0.3964806338
459	0.3963021098
460	0.3961120087
461	0.3958924542
462	0.3956605615
463	0.3954498442
464	0.395310842
465	0.395106513
466	0.3949705895
467	0.394774993
468	0.3945591783
469	0.3943192916
470	0.3940729656
471	0.3938727219
472	0.393728463
473	0.3936164295
